Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
770000,1.55521,4.0,999.0,1.3460566,15.150482094287872,15.150482094287872,1.0
780000,1.564616,4.0,948.1538461538462,1.3355557,14.39734040773832,14.39734040773832,1.0
790000,1.5225677,4.0,999.0,1.374755,15.250527441501617,15.250527441501617,1.0
800000,1.5097858,4.0,999.0,1.398566,15.23117147042201,15.23117147042201,1.0
810000,1.4974148,4.0,999.0,1.4119176,15.500235617160797,15.500235617160797,1.0
820000,1.500217,4.0,946.4545454545455,1.4250746,14.553074912591415,14.553074912591415,1.0
830000,1.490048,4.0,999.0,1.4426596,15.417002201080322,15.417002201080322,1.0
840000,1.4877397,4.0,999.0,1.4697446,15.389446761873034,15.389446761873034,1.0
850000,1.4599229,4.0,933.9285714285714,1.4839109,14.49397342971393,14.49397342971393,1.0
860000,1.4300131,4.0,999.0,1.5027695,15.750535428524017,15.750535428524017,1.0
870000,1.4162786,4.0,999.0,1.5296412,15.708768874406815,15.708768874406815,1.0
880000,1.4248463,4.0,911.5555555555555,1.555752,14.365446329116821,14.365446329116821,1.0
890000,1.4367241,4.0,991.2,1.544425,15.508322209119797,15.508322209119797,1.0
900000,1.4245863,4.0,989.3076923076923,1.540101,15.586848304821896,15.586848304821896,1.0
910000,1.4307462,4.0,999.0,1.5430783,15.778290967146555,15.778290967146555,1.0
920000,1.4123904,4.0,999.0,1.5370699,16.13667492433028,16.13667492433028,1.0
930000,1.4066108,4.0,920.0,1.5441192,14.579251877963543,14.579251877963543,1.0
940000,1.4548537,4.0,965.2,1.5592031,15.284282213449478,15.284282213449478,1.0
950000,1.4589283,4.0,936.4615384615385,1.5806421,14.870448263791891,14.870448263791891,1.0
960000,1.4629858,4.0,996.3333333333334,1.5682294,16.003135363260906,16.003135363260906,1.0
970000,1.458003,4.0,999.0,1.571003,16.166935473680496,16.166935473680496,1.0
980000,1.398346,4.0,907.5,1.5830956,14.466876938939095,14.466876938939095,1.0
990000,1.3981066,4.0,999.0,1.6115742,16.182202209125865,16.182202209125865,1.0
1000000,1.4363886,4.0,879.0909090909091,1.5894419,13.892911152406173,13.892911152406173,1.0
1010000,1.4402946,4.0,999.0,1.623629,16.400462365150453,16.400462365150453,1.0
1020000,1.4389784,4.0,897.0909090909091,1.5419803,14.05663832209327,14.05663832209327,1.0
1030000,1.4322358,4.0,999.0,1.5599415,16.227747689593922,16.227747689593922,1.0
1040000,1.4395449,4.0,941.4166666666666,1.5241579,15.016118705272675,15.016118705272675,1.0
1050000,1.438381,4.0,988.5714285714286,1.5104477,15.867945160184588,15.867945160184588,1.0
1060000,1.4239835,4.0,999.0,1.5736158,16.364038635383952,16.364038635383952,1.0
1070000,1.4171432,4.0,928.0833333333334,1.5557867,15.112868895133337,15.112868895133337,1.0
1080000,1.4087993,4.0,999.0,1.5685549,16.43800215423107,16.43800215423107,1.0
1090000,1.418962,4.0,953.0,1.5511327,15.581944929701942,15.581944929701942,1.0
1100000,1.4115121,4.0,999.0,1.547369,16.500468750794727,16.500468750794727,1.0
1110000,1.4046228,4.0,999.0,1.533348,16.59125678105788,16.59125678105788,1.0
1120000,1.4142045,4.0,939.7272727272727,1.5173022,15.423292777755044,15.423292777755044,1.0
1130000,1.4164819,4.0,835.8461538461538,1.4966576,13.394294131260652,13.394294131260652,1.0
1140000,1.3768361,4.0,999.0,1.5126108,16.60026236772537,16.60026236772537,1.0
1150000,1.3539402,4.0,947.8,1.5120474,15.601682096719742,15.601682096719742,1.0
1160000,1.3487822,4.0,999.0,1.5032291,16.541919117172558,16.541919117172558,1.0
1170000,1.3226471,4.0,939.4285714285714,1.4989852,15.631402088063103,15.631402088063103,1.0
1180000,1.3085362,4.0,999.0,1.5021113,16.75030208826065,16.75030208826065,1.0
1190000,1.2902067,4.0,908.0666666666667,1.4894726,15.091295138994854,15.091295138994854,1.0
1200000,1.2863456,4.0,943.7142857142857,1.5085704,15.8413165978023,15.8413165978023,1.0
1210000,1.3107723,4.0,962.7142857142857,1.5107918,16.07233070901462,16.07233070901462,1.0
1220000,1.3179438,4.0,999.0,1.546888,16.700442016124725,16.700442016124725,1.0
1230000,1.322476,4.0,999.0,1.595035,16.818402236158196,16.818402236158196,1.0
1240000,1.3090551,4.0,922.7692307692307,1.5836483,15.576648093186892,15.576648093186892,1.0
1250000,1.3217269,4.0,999.0,1.6005955,17.000302016735077,17.000302016735077,1.0
1260000,1.3096373,4.0,903.25,1.5852873,15.158601954579353,15.158601954579353,1.0
1270000,1.323352,4.0,985.2857142857143,1.6144743,16.657030241830007,16.657030241830007,1.0
1280000,1.31969,4.0,959.4615384615385,1.5926176,16.116878885489243,16.116878885489243,1.0
1290000,1.3194168,4.0,704.3,1.5277297,11.345141100883485,11.345141100883485,1.0
1300000,1.3202629,4.0,856.5,1.5322237,13.992881846427917,13.992881846427917,1.0
1310000,1.3041688,4.0,865.7647058823529,1.5440503,14.427778168636209,14.427778168636209,1.0
1320000,1.2891611,4.0,957.25,1.5711082,16.167176738381386,16.167176738381386,1.0
1330000,1.2891026,4.0,999.0,1.6606964,17.100341975688934,17.100341975688934,1.0
1340000,1.304187,4.0,854.0909090909091,1.6312829,14.28174722736532,14.28174722736532,1.0
1350000,1.314272,4.0,942.3636363636364,1.5465777,15.738820216872476,15.738820216872476,1.0
1360000,1.3136499,4.0,999.0,1.5709476,17.150382232666015,17.150382232666015,1.0
1370000,1.3132508,4.0,999.0,1.6242993,17.045911290428855,17.045911290428855,1.0
1380000,1.3097942,4.0,999.0,1.623162,17.000290936893887,17.000290936893887,1.0
1390000,1.3306317,4.0,999.0,1.6390709,17.222668555047775,17.222668555047775,1.0
1400000,1.3325107,4.0,935.5833333333334,1.6355553,15.897135451436043,15.897135451436043,1.0
1410000,1.2940245,4.0,996.5,1.6459242,17.127927258610725,17.127927258610725,1.0
1420000,1.2937042,4.0,999.0,1.6473064,17.27314724705436,17.27314724705436,1.0
1430000,1.2542149,4.0,999.0,1.6734359,17.192678928375244,17.192678928375244,1.0
1440000,1.2534395,4.0,986.75,1.6787643,16.88772691041231,16.88772691041231,1.0
1450000,1.2321824,4.0,999.0,1.6484995,17.389224105411106,17.389224105411106,1.0
1460000,1.2090476,4.0,999.0,1.6337574,17.200461679697035,17.200461679697035,1.0
1470000,1.1996262,4.0,999.0,1.6875093,17.18220181898637,17.18220181898637,1.0
1480000,1.1728666,4.0,999.0,1.6985382,17.250402051210404,17.250402051210404,1.0
1490000,1.1782467,4.0,952.9,1.6688316,16.49617975950241,16.49617975950241,1.0
1500000,1.1924394,4.0,999.0,1.6701384,17.625335281093914,17.625335281093914,1.0
1510000,1.1799059,4.0,984.2222222222222,1.678833,17.126423981454636,17.126423981454636,1.0
1520000,1.1760286,4.0,999.0,1.6862917,17.591311010447416,17.591311010447416,1.0
1530000,1.1912777,4.0,999.0,1.7038686,17.500501915812492,17.500501915812492,1.0
1540000,1.2143553,4.0,997.0909090909091,1.7148594,17.275183764371004,17.275183764371004,1.0
1550000,1.1889224,4.0,999.0,1.7602571,17.54206861058871,17.54206861058871,1.0
1560000,1.1649629,4.0,999.0,1.7842277,17.438076622784138,17.438076622784138,1.0
1570000,1.1598136,4.0,954.0909090909091,1.80513,16.636220167983662,16.636220167983662,1.0
1580000,1.1667361,4.0,895.1818181818181,1.8168607,15.558856210925363,15.558856210925363,1.0
